,Y
0,0.682318389416
1,0.994199872017
2,0.997939407825
3,0.999019384384
4,0.965681433678
5,0.982530772686
6,0.970847606659
7,0.989988744259
8,0.993424296379
9,0.996160030365
10,0.910592556
11,0.989141941071
12,0.991655230522
13,0.974989175797
14,0.920836806297
15,0.998788893223
16,0.986499547958
17,0.652338624001
18,0.986705124378
19,0.996914505959
20,0.852864325047
21,0.962555646896
22,0.993231773376
23,0.92492210865
24,0.983214139938
25,0.998500585556
26,0.999472796917
27,0.98445546627
28,0.999695539474
29,0.955831348896
30,0.998929560184
31,0.999429404736
32,0.99692350626
33,0.997119545937
34,0.985888302326
35,0.992867469788
36,0.975477933884
37,0.995173990726
38,0.99793869257
39,0.959327697754
40,0.94542324543
41,0.987379550934
42,0.997957110405
43,0.9719799757
44,0.999138712883
45,0.981397628784
46,0.909257292747
47,0.777566075325
48,0.828261554241
49,0.983510136604
50,0.997265934944
51,0.456732660532
52,0.995785176754
53,0.689994513988
54,0.963001966476
55,0.981567084789
56,0.95758908987
57,0.9993699193
58,0.983466029167
59,0.98661917448
60,0.991639435291
61,0.971173226833
62,0.84760761261
63,0.980882465839
64,0.998797178268
65,0.993775367737
66,0.998800039291
67,0.993656218052
68,0.992646217346
69,0.998896837234
70,0.999795734882
71,0.995300531387
72,0.981275439262
73,0.996121108532
74,0.972936630249
75,0.895099759102
76,0.892538249493
77,0.992188096046
78,0.981463074684
79,0.980728447437
80,0.982162892818
81,0.997181415558
82,0.970325231552
83,0.996098518372
84,0.951378405094
85,0.90462076664
86,0.987153828144
87,0.986539423466
88,0.99580103159
89,0.920316517353
90,0.997641324997
91,0.933025121689
92,0.980666339397
93,0.998686611652
94,0.99608373642
95,0.99682956934
96,0.985129594803
97,0.98034465313
98,0.991343140602
99,0.98841303587
100,0.998930752277
101,0.917111098766
102,0.973034024239
103,0.984085083008
104,0.997122704983
105,0.99418348074
106,0.963088095188
107,0.749133825302
108,0.98091083765
109,0.986984014511
110,0.974638819695
111,0.997389137745
112,0.972216963768
113,0.979999780655
114,0.99919885397
115,0.995514333248
116,0.999559223652
117,0.988152325153
118,0.999491930008
119,0.996405243874
120,0.982903540134
121,0.99699640274
122,0.991173803806
123,0.985928177834
124,0.971884250641
125,0.978989422321
126,0.996241927147
127,0.910075306892
128,0.981599867344
129,0.990889132023
130,0.999315500259
131,0.991882622242
132,0.955438971519
133,0.989145219326
134,0.761222183704
135,0.652207493782
136,0.945198476315
137,0.991613745689
138,0.975415229797
139,0.580609500408
140,0.938712179661
141,0.983123779297
142,0.986363589764
143,0.995703399181
144,0.995076477528
145,0.997478663921
146,0.967867553234
147,0.923641979694
148,0.973657548428
149,0.713288187981
150,0.998699069023
151,0.995720803738
152,0.998061358929
153,0.8762114048
154,0.991204559803
155,0.989225566387
156,0.999936103821
157,0.967215836048
158,0.999267995358
159,0.980583310127
160,0.987260818481
161,0.908192515373
162,0.993373513222
163,0.948585569859
164,0.886780083179
165,0.397802889347
166,0.999411344528
167,0.993959188461
168,0.907012224197
169,0.999397039413
170,0.979987442493
171,0.993167698383
172,0.996924221516
173,0.869370937347
174,0.998538136482
175,0.988169312477
176,0.993181765079
177,0.997723996639
178,0.996005833149
179,0.993957161903
180,0.988738775253
181,0.995530068874
182,0.995860636234
183,0.86834025383
184,0.993169546127
185,0.999323487282
186,0.997584462166
187,0.995238900185
188,0.993625879288
189,0.992702126503
190,0.994677186012
191,0.995976865292
